"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devin Singletary","NYG","35.6","142.7","1.0","4.2","26.3","0.1","0.1","23.0"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.2"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.1"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","22.0"
"Trevor Etienne","CAR","24.8","105.6","0.6","8.2","59.2","0.3","0.1","21.5"
"Jonah Coleman","DEN","26.2","109.4","0.8","5.9","42.7","0.2","0.1","21.2"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Najee Harris","LAC","28.0","126.0","1.0","2.0","18.0","0.0","0.0","20.4"
"Demond Claiborne","MIN","27.7","121.5","0.9","3.3","25.2","0.1","0.1","20.4"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","54.0","0.0","0.0","20.2"
"Seth McGowan","IND","22.3","97.1","1.2","3.2","26.9","0.1","0.0","20.0"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.1","25.5","0.1","0.0","18.4"
"Tahj Brooks","CIN","30.5","129.3","0.9","0.0","0.0","0.0","0.1","18.3"
"Devin Neal","NO","22.5","89.5","1.0","2.5","17.5","0.0","0.0","16.7"
"Hunter Luepke","DAL","13.3","56.1","0.4","8.6","61.8","0.4","0.1","16.4"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.2","0.4","0.1","16.2"
"Tyler Badie","DEN","4.1","17.6","0.1","12.0","98.7","0.5","0.1","15.5"
"Nicholas Singleton","TEN","20.3","83.4","0.6","4.3","29.9","0.2","0.1","15.4"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.5","0.0","0.0","15.1"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.2","0.6","0.0","11.4"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.6","1.1","0.0","10.2"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.2","0.2","0.1","8.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.7","0.2","0.0","6.3"
"Connor Heyward","LV","4.2","17.6","0.1","4.0","28.9","0.2","0.0","6.3"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Kaleb Johnson","PIT","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Patrick Ricard","NYG","0.0","0.0","0.0","4.0","26.9","0.1","0.0","3.5"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
