"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ryan Flournoy","DAL","34.0","384.6","2.7","2.2","12.4","0.1","0.4","55.5"
"Dyami Brown","WAS","29.9","394.6","2.7","0.0","0.0","0.0","0.3","55.0"
"Tre' Harris","LAC","34.5","407.8","2.5","0.0","0.0","0.0","0.4","54.8"
"Ted Hurst III","TB","28.9","389.8","2.6","1.0","6.5","0.0","0.6","53.8"
"Jahan Dotson","ATL","31.9","402.9","2.1","0.0","0.0","0.0","0.2","52.2"
"Ashton Dulin","IND","22.5","378.9","1.5","5.1","46.2","0.1","0.1","51.6"
"Elic Ayomanor","TEN","23.9","323.0","3.2","0.0","0.0","0.0","0.0","51.5"
"Chimere Dike","TEN","26.1","252.9","3.3","10.1","33.6","0.3","0.6","48.7"
"Olamide Zaccheaus","ATL","37.2","352.9","2.1","1.5","9.5","0.0","0.2","48.7"
"Dontayvion Wicks","PHI","29.6","334.6","2.3","0.5","3.0","0.0","0.1","47.2"
"Van Jefferson","WAS","28.0","357.7","1.9","0.0","0.0","0.0","0.2","47.0"
"Xavier Hutchinson","HOU","26.4","320.6","2.1","2.1","14.2","0.0","0.1","45.9"
"KaVontae Turpin","DAL","18.3","230.4","1.7","17.7","102.4","0.4","0.4","45.4"
"Savion Williams","GB","23.9","272.0","2.0","9.0","47.0","0.3","0.3","45.1"
"Xavier Legette","CAR","26.6","308.1","2.1","2.1","10.8","0.1","0.3","44.1"
"Pat Bryant","DEN","28.5","319.5","2.1","0.0","0.0","0.0","0.3","44.0"
"Joshua Palmer","BUF","25.9","337.3","1.6","0.0","0.0","0.0","0.1","43.3"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.0","0.3","0.4","42.5"
"Jahdae Walker","CHI","18.7","243.8","2.8","0.5","3.5","0.0","0.0","41.6"
"Calvin Austin III","NYG","20.5","273.7","2.2","0.0","0.0","0.0","0.0","40.8"
"Cedric Tillman","CLE","21.5","269.0","2.3","0.0","-0.5","0.0","0.0","40.4"
"Jalen Tolbert","MIA","26.6","324.8","1.3","0.0","0.0","0.0","0.3","39.8"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","39.7"
"Elijah Sarratt","BAL","19.5","294.5","1.8","0.0","0.0","0.0","0.2","39.7"
"DeMario Douglas","NE","22.7","271.0","1.5","4.1","21.4","0.2","0.3","38.6"
"Jaylin Lane","WAS","22.8","281.0","1.8","0.0","0.0","0.0","0.2","38.4"
"Chris Brazzell II","CAR","22.5","287.9","1.7","0.0","0.0","0.0","0.2","38.3"
"Kalif Raymond","CHI","26.7","264.8","1.3","4.6","27.2","0.2","0.3","37.1"
"Demarcus Robinson","SF","17.7","249.8","1.7","0.5","2.5","0.0","0.0","35.2"
"Jaylin Noel","HOU","21.6","239.3","1.4","4.2","22.2","0.1","0.3","34.6"
"Tutu Atwell","MIA","20.3","291.1","0.4","2.2","11.3","0.1","0.2","32.9"
"Zachariah Branch","ATL","21.0","251.6","1.3","0.0","0.0","0.0","0.2","32.4"
"Luke McCaffrey","WAS","12.0","189.0","2.0","0.0","0.0","0.0","0.0","30.9"
"Kevin Coleman Jr.","MIA","21.1","270.0","0.7","0.0","0.0","0.0","0.2","30.5"
"Treylon Burks","WAS","15.8","215.5","1.3","0.0","0.0","0.0","0.1","29.0"
"Jalen Royals","KC","17.1","198.7","1.6","0.0","0.0","0.0","0.2","28.9"
"Kendrick Bourne","ARI","22.7","239.7","0.7","0.0","0.0","0.0","0.2","27.5"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","27.5"
"Jordan Whittington","LAR","15.0","172.0","1.2","2.3","12.1","0.1","0.2","26.2"
"Bryce Lance","NO","16.4","204.3","0.9","0.0","0.0","0.0","0.2","25.7"
"Dont'e Thornton Jr.","LV","15.1","210.5","0.8","0.0","0.0","0.0","0.2","25.2"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","23.4"
"Odell Beckham Jr.","NYG","14.3","175.8","1.0","0.5","2.7","0.0","0.1","23.4"
"Malachi Fields","NYG","13.2","157.5","0.9","0.0","0.0","0.0","0.1","20.9"
"Konata Mumpfield","LAR","9.9","126.7","1.2","0.0","0.0","0.0","0.1","19.4"
"Brenen Thompson","LAC","9.5","120.9","0.7","2.1","11.3","0.1","0.1","17.8"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","17.2"
"KeAndre Lambert-Smith","LAC","9.6","120.8","0.9","0.0","0.0","0.0","0.1","17.0"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","15.6"
"Tez Johnson","TB","6.6","77.8","0.6","4.4","23.2","0.2","0.1","14.9"
"Isaiah Bond","CLE","5.6","73.7","0.4","4.3","23.5","0.1","0.1","12.9"
"Mitch Tinsley","CIN","6.6","84.0","0.8","0.0","0.0","0.0","0.1","12.9"
"Xavier Smith","LAR","7.2","89.3","0.7","0.0","0.0","0.0","0.1","12.7"
"Cyrus Allen","KC","6.4","79.7","0.5","0.0","0.0","0.0","0.1","10.8"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","10.0"
"Anthony Gould","IND","7.0","74.3","0.3","0.0","0.0","0.0","0.1","9.3"
"Bo Melton","GB","2.9","37.6","0.3","4.5","26.0","0.1","0.1","8.6"
"Mason Tipton","NO","3.3","37.5","0.2","4.3","23.6","0.2","0.1","7.8"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","6.9"
"Derius Davis","LAC","3.5","37.8","0.3","2.1","11.0","0.1","0.1","6.7"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","6.3"
"David Moore","CAR","3.1","36.7","0.2","2.1","11.4","0.1","0.1","6.3"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","6.3"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","6.2"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","6.2"
"Zavion Thomas","CHI","3.1","37.8","0.3","0.0","0.0","0.0","0.0","5.6"
"Malachi Corley","CLE","0.0","0.0","0.0","6.4","43.8","0.2","0.1","5.5"
"Jonathan Mingo","DAL","2.9","40.7","0.3","0.0","0.0","0.0","0.0","5.5"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","5.4"
"Darius Cooper","PHI","3.3","37.6","0.3","0.0","0.0","0.0","0.0","5.2"
"Tai Felton","MIN","3.7","37.0","0.2","0.0","0.0","0.0","0.0","5.1"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","4.7"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.6","0.1","0.0","4.0"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Jimmy Horn Jr.","CAR","0.0","0.0","0.0","4.1","24.7","0.1","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","1.4","12.4","0.1","0.0","0.0","0.0","0.0","1.6"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
