"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Shane Buechele","BUF","20.0","13.0","150.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"","low","20.0","13.0","150.0","1.0","0.0","4.0","20.0","0.0","0.0","9.0"
"Jameis Winston","NYG","26.1","15.5","194.8","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"","low","21.0","13.0","144.0","0.9","2.0","0.7","2.7","0.0","1.0","5.0"
"Kenny Pickett","CAR","22.5","14.4","155.5","1.3","0.8","2.8","10.9","0.0","0.1","11.6"
"","low","20.0","13.0","128.0","0.9","1.0","1.3","3.7","0.0","0.2","7.0"
"Quinn Ewers","MIA","24.5","16.0","167.6","1.2","0.9","3.0","11.7","0.0","0.1","11.5"
"","low","19.0","13.0","124.0","0.6","1.0","1.0","4.0","0.0","0.2","7.0"
"Tyson Bagent","CHI","23.0","14.7","168.0","1.0","0.2","2.8","8.6","0.0","0.1","11.4"
"","low","21.0","13.0","153.0","1.0","0.6","1.5","5.9","0.0","0.2","8.0"
"Will Levis","TEN","23.0","14.0","137.0","1.0","0.0","4.0","19.0","0.0","0.0","11.4"
"","low","23.0","14.0","137.0","1.0","0.0","4.0","19.0","0.0","0.0","9.0"
"Jake Browning","TB","22.5","14.3","157.4","1.0","0.9","3.1","15.7","0.0","0.1","11.2"
"","low","21.9","14.0","152.0","1.0","1.0","1.3","5.5","0.0","0.1","7.0"
"Jarrett Stidham","DEN","23.1","14.4","152.2","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"","low","22.3","13.8","143.0","1.0","0.6","1.7","6.8","0.0","0.2","9.0"
"Teddy Bridgewater","DET","21.8","13.7","157.9","1.0","0.4","3.1","8.9","0.0","0.0","11.0"
"","low","21.6","13.3","150.7","1.0","0.7","1.1","4.8","0.0","0.1","8.0"
"Tyrod Taylor","GB","25.0","15.4","173.5","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"","low","20.0","12.8","136.1","0.9","1.0","2.0","9.0","0.0","0.2","9.3"
"Tommy DeVito","NE","22.5","14.7","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"","low","22.5","14.7","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.3"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"","low","17.0","11.0","128.5","0.9","0.5","2.0","9.5","0.0","0.1","8.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"","low","22.0","14.8","145.7","1.0","1.0","1.0","2.2","0.0","0.1","7.0"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","13.4","0.0","0.1","10.4"
"","low","22.0","13.2","147.3","1.0","1.0","1.5","6.8","0.0","0.1","7.0"
"Tanner McKee","PHI","20.3","12.8","141.0","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"","low","19.0","12.0","129.0","1.0","0.5","1.0","3.7","0.0","0.1","8.0"
"Joe Flacco","CIN","24.8","16.1","169.2","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"","low","24.6","15.2","164.4","1.0","1.0","0.4","1.2","0.0","1.0","4.0"
"Mason Rudolph","PIT","22.2","14.0","148.4","0.9","0.3","2.6","10.6","0.0","0.1","10.3"
"","low","21.0","13.0","134.0","0.9","0.7","1.2","4.2","0.0","0.2","8.9"
"Spencer Rattler","NO","23.0","15.0","156.7","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"","low","23.0","14.9","153.5","0.8","1.0","1.3","7.1","0.0","0.2","7.0"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"","low","20.0","12.9","134.2","0.8","1.0","1.2","5.2","0.0","0.2","7.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"","low","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","7.0"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"","low","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"Nick Mullens","JAC","18.8","13.2","140.2","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"","low","14.0","11.0","101.0","1.0","0.9","1.1","3.4","0.0","0.2","7.0"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"","low","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","7.0"
"Gardner Minshew II","ARI","22.9","14.3","147.9","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"","low","21.7","13.6","141.8","0.6","0.6","0.9","2.6","0.0","0.2","7.2"
"Cade Klubnik","NYJ","20.6","12.7","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"","low","15.0","9.0","90.0","0.8","1.0","1.5","6.7","0.0","0.2","7.0"
"Adrian Martinez","SF","16.0","11.0","114.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"","low","16.0","11.0","114.0","1.0","0.0","3.0","7.0","0.0","0.0","8.0"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"","low","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","8.0"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"","low","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","8.0"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"","low","15.0","8.0","96.0","0.9","1.0","1.1","2.0","0.0","0.2","7.0"
"Mitchell Trubisky","TEN","23.3","13.5","138.5","0.8","0.4","2.6","4.7","0.0","0.1","9.0"
"","low","23.0","12.0","123.0","0.7","0.7","1.1","2.5","0.0","0.1","7.7"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"","low","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","7.0"
"Drew Allar","PIT","16.0","10.0","101.0","1.0","0.0","2.0","8.0","0.0","0.0","8.8"
"","low","16.0","10.0","101.0","1.0","0.0","2.0","8.0","0.0","0.0","7.0"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.5","0.0","0.0","5.0"
"","low","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
