"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"501",16,"Frank Gore Jr.",BUF,"RB139","7","-","-","2 out of 5 stars","+164"
"502",16,"Noah Whittington",HOU,"RB140","8","-","-","4 out of 5 stars","-"
"503",16,"Reggie Virgil",ARI,"WR170","14","-","-","2 out of 5 stars","+120"
"504",16,"Cash Jones",ATL,"RB141","11","-","-","2 out of 5 stars","-"
"505",16,"Michael Burton",CLE,"RB142","11","-","-","3 out of 5 stars","+100"
"506",16,"Durham Smythe",BAL,"TE76","13","-","-","4 out of 5 stars","+19"
"507",16,"Tyson Bagent",CHI,"QB52","10","-","-","3 out of 5 stars","+65"
"508",16,"Nate Boerkircher",JAC,"TE77","7","-","-","3 out of 5 stars","+80"
"509",16,"Luke Schoonmaker",DAL,"TE78","14","-","-","2 out of 5 stars","-142"
"510",16,"Jeremy Ruckert",NYJ,"TE79","13","-","-","4 out of 5 stars","+82"
"511",16,"KeAndre Lambert-Smith",LAC,"WR171","7","-","-","2 out of 5 stars","-35"
"512",16,"Tanner Hudson",CIN,"TE80","6","-","-","3 out of 5 stars","+74"
"513",16,"Tyler Conklin",DET,"TE81","6","-","-","3 out of 5 stars","+102"
"514",16,"Jaret Patterson",LAC,"RB143","7","-","-","3 out of 5 stars","-"
"515",16,"Davis Mills",HOU,"QB53","8","-","-","4 out of 5 stars","-"
"516",16,"Jaydn Ott",KC,"RB144","5","-","-","3 out of 5 stars","-"
"517",16,"Velus Jones Jr.",SEA,"WR172","11","-","-","3 out of 5 stars","-"
"518",16,"Trey Lance",LAC,"QB54","7","-","-","2 out of 5 stars","-133"
"519",16,"Lil'Jordan Humphrey",DEN,"WR173","10","-","-","2 out of 5 stars","-191"
