"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Brenton Strange","JAC","TE17","0.0","0.0","0.0","60.0","658.0","4.3","0.2","91.4"
"Tyrone Tracy Jr.","NYG","RB45","118.3","502.7","2.5","26.3","203.3","1.2","0.8","91.0"
"Jerry Jeudy","CLE","WR61","0.5","2.0","0.0","54.2","746.8","2.9","0.7","90.5"
"Tyjae Spears","TEN","RB46","92.1","368.0","2.9","45.9","305.2","1.2","0.7","90.5"
"KC Concepcion","CLE","WR62","4.2","22.4","0.1","55.7","707.8","3.1","1.3","89.8"
"Juwan Johnson","NO","TE18","0.0","0.0","0.0","64.5","726.2","3.2","1.3","89.5"
"Chris Rodriguez Jr.","JAC","RB47","133.8","553.1","5.1","5.4","42.5","0.1","0.6","89.4"
"Alvin Kamara","NO","RB48","116.6","454.6","2.1","34.6","233.6","1.5","0.6","88.9"
"Jayden Higgins","HOU","WR63","0.0","0.0","0.0","49.3","608.7","4.7","0.2","88.7"
"Jalen McMillan","TB","WR64","4.7","26.8","0.1","46.6","606.8","3.9","0.2","87.2"
"Jauan Jennings","MIN","WR65","0.0","0.0","0.0","48.7","556.5","5.2","0.7","85.2"
"Jalen Nailor","LV","WR66","2.0","8.5","0.0","42.0","566.4","4.4","0.2","83.7"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.9","630.0","3.4","0.2","82.8"
"Brian Robinson Jr.","ATL","RB49","121.8","530.0","4.2","7.6","48.1","0.1","0.7","82.2"
"Antonio Williams","WAS","WR67","3.5","18.7","0.1","44.4","600.1","3.6","1.2","81.7"
"Justice Hill","BAL","RB50","56.4","273.5","2.2","34.7","303.0","1.8","0.2","81.3"
"Pat Freiermuth","PIT","TE20","0.0","0.0","0.0","53.0","557.9","4.3","0.2","80.9"
"AJ Barner","SEA","TE21","0.0","0.0","0.0","50.6","486.2","5.2","0.2","79.4"
"Kenyon Sadiq","NYJ","TE22","0.0","0.0","0.0","51.1","558.0","4.1","0.7","79.0"
"Tyler Allgeier","ARI","RB51","111.7","428.0","4.2","17.0","108.5","0.2","0.6","78.5"
"Braelon Allen","NYJ","RB52","106.0","427.9","4.3","12.9","93.7","0.7","1.7","78.5"
